p,n,residues,mask_t2,pool,hjsw_size,primary_size,surplus,bad_lines,excess_sum,lb_disjoint,ub_greedy,min_deletions,deletion_method,lb_minus_surplus,exact_del_minus_surplus,kept_minus_hjsw,greedy_residual_verified,runtime_s
5,10,1|3,False,32,12,16,4,8,8,4,5,4,bnb_exact,0,0,0,1,0.004
7,14,1|2|6,False,72,18,24,6,3,4,4,4,4,bnb_exact,-2,-2,2,1,0.016
17,34,1|2|16,False,192,48,56,8,39,46,14,18,18,greedy_ub_only,6,10,-10,1,6.723
19,38,2|3|5,False,216,54,62,8,66,70,14,21,21,greedy_ub_only,6,13,-13,1,1.798
31,62,2|3|5,False,360,90,106,16,107,116,27,36,36,greedy_ub_only,11,20,-20,1,0.193
37,74,1|2|3,False,432,108,122,14,131,135,31,40,40,greedy_ub_only,17,26,-26,1,0.290
61,122,1|2|3,False,720,180,207,27,325,354,59,84,84,greedy_ub_only,32,57,-57,1,0.958
