p,n,spec,pool,hjsw,hjsw_polished,empty_pack,empty_final,local_pack,local_final,best_final,delta_vs_polished,winner,runtime_s
17,34,H1_H2_par_circ,232,48,54,43,49,48,54,54,0,hjsw_polished,6.12
19,38,H1_H2_par_circ,244,54,60,48,54,54,60,60,0,hjsw_polished,6.12
23,46,H1_H2_par_circ,336,66,71,59,67,68,73,73,2,joint_local,6.25
29,58,H1_H2_par_circ,408,84,88,72,82,85,89,89,1,joint_local,6.44
31,62,H1_H2_par_circ,428,90,98,76,88,90,98,98,0,hjsw_polished,6.33
37,74,H1_H2_par_circ,532,108,115,92,107,108,115,115,0,hjsw_polished,6.34
41,82,H1_H2_par_circ,616,120,124,102,122,120,124,124,0,hjsw_polished,6.68
43,86,H1_H2_par_circ,640,126,131,105,126,126,132,132,1,joint_local,7.26
